scaffold	hit_number	annotation	position
scaffold_3	1	jg8597	1204194.5
scaffold_3	1	jg20544	1204205.5
scaffold_3	1	jg4139	1202869.5
scaffold_3	1	jg24256	1204436.5
scaffold_3	1	jg16764	1204547.5
scaffold_3	1	jg28734	1204792
scaffold_3	1	jg4138	1201591.5
scaffold_3	1	jg20543	1201529
scaffold_3	1	jg4140	1205967.5
scaffold_3	1	jg20545	1206401
scaffold_3	1	jg24255	1200510.5
scaffold_3	1	jg13182	1200431
scaffold_3	1	jg4141	1208057
scaffold_3	1	jg4137	1199199.5
scaffold_3	1	jg16765	1208404
scaffold_7	2	jg4116	1105868.5
scaffold_7	2	jg28711	1106121.5
scaffold_7	2	jg24220	1106295.5
scaffold_7	2	jg627	1105193
scaffold_7	2	jg20521	1104772.5
scaffold_7	2	jg20522	1107113
scaffold_7	2	jg16745	1104313
scaffold_7	2	jg628	1108048
scaffold_7	2	jg16746	1108416.5
scaffold_7	2	jg626	1102947.5
scaffold_7	2	jg8572	1102796.5
scaffold_7	2	jg20523	1109004
scaffold_7	2	jg4115	1101270
scaffold_7	2	jg28712	1110354
scaffold_7	2	jg24221	1110394.5
scaffold_3	3	jg25776	6597399
scaffold_3	3	jg30218	6597388.5
scaffold_3	3	jg5581	6596613
scaffold_3	3	jg17532	6598444
scaffold_3	3	jg25777	6598646
scaffold_3	3	jg14188	6595840
scaffold_3	3	jg5582	6599545
scaffold_3	3	jg25775	6594914.5
scaffold_3	3	jg30217	6594656.5
scaffold_3	3	jg30219	6600593
scaffold_3	3	jg25778	6600657.5
scaffold_3	3	jg17533	6600716
scaffold_3	3	jg10008	6594203.5
scaffold_3	3	jg10009	6600974
scaffold_3	3	jg14189	6601066
scaffold_3	3	jg5580	6593871
scaffold_3	3	jg21429	6593467.5
scaffold_3	3	jg17531	6592797
scaffold_1	4	jg33686	22351274
scaffold_1	4	jg33685	22344561.5
scaffold_2	5	jg28844	1614210
scaffold_2	5	jg24376	1613024
scaffold_2	5	jg24377	1614511.5
scaffold_2	5	jg748	1611962.5
scaffold_2	5	jg4241	1615362
scaffold_2	5	jg749	1615368
scaffold_2	5	jg4240	1611745
scaffold_2	5	jg24378	1615765.5
scaffold_2	5	jg13263	1615828.5
scaffold_2	5	jg28843	1610812.5
scaffold_2	5	jg8690	1610689.5
scaffold_2	5	jg24375	1610589.5
scaffold_2	5	jg20612	1610508
scaffold_2	5	jg13262	1610057.5
scaffold_2	5	jg20613	1617410
scaffold_2	5	jg8691	1617655
scaffold_2	5	jg4242	1617658.5
scaffold_2	5	jg747	1608948.5
scaffold_7	6	jg4561	2787189
scaffold_7	6	jg4560	2786463.5
scaffold_7	6	jg29174	2788559.5
scaffold_7	6	jg20869	2786263
scaffold_7	6	jg13537	2785811
scaffold_7	6	jg9012	2789165.5
scaffold_7	6	jg24691	2789401
scaffold_7	6	jg4562	2789427.5
scaffold_7	6	jg9011	2785329.5
