scaffold	hit_number	annotation	position
scaffold_3	1	jg25776	6597399
scaffold_3	1	jg30218	6597388.5
scaffold_3	1	jg5581	6596613
scaffold_3	1	jg17532	6598444
scaffold_3	1	jg25777	6598646
scaffold_3	1	jg14188	6595840
scaffold_3	1	jg5582	6599545
scaffold_3	1	jg25775	6594914.5
scaffold_3	1	jg30217	6594656.5
scaffold_3	1	jg30219	6600593
scaffold_3	1	jg25778	6600657.5
scaffold_3	1	jg17533	6600716
scaffold_3	1	jg10008	6594203.5
scaffold_3	1	jg10009	6600974
scaffold_3	1	jg14189	6601066
scaffold_3	1	jg5580	6593871
scaffold_3	1	jg21429	6593467.5
scaffold_3	1	jg17531	6592797
scaffold_7	2	jg621	1072500
scaffold_7	2	jg4111	1072099.5
scaffold_7	2	jg13147	1071311
scaffold_7	2	jg8565	1071300
scaffold_7	2	jg20516	1073662
scaffold_7	2	jg13148	1073758
scaffold_7	2	jg28703	1073759
scaffold_7	2	jg8564	1069696
scaffold_7	2	jg13146	1069390.5
scaffold_7	2	jg24214	1075849.5
scaffold_7	2	jg20517	1075908.5
scaffold_7	2	jg16740	1076059
scaffold_7	2	jg16739	1067765.5
scaffold_7	2	jg8566	1077283.5
scaffold_6	3	jg16817	1428268.5
scaffold_6	3	jg16816	1426911.5
scaffold_6	3	jg24323	1426894.5
scaffold_6	3	jg24324	1429214.5
scaffold_6	3	jg4198	1429609.5
scaffold_6	3	jg28786	1429827.5
scaffold_6	3	jg20582	1430314
scaffold_6	3	jg28785	1425465
scaffold_6	3	jg24322	1425410.5
scaffold_6	3	jg24325	1431021
scaffold_6	3	jg695	1424416
scaffold_6	3	jg4197	1424325.5
scaffold_6	3	jg16818	1431533
scaffold_6	3	jg8647	1424126.5
scaffold_6	3	jg696	1432002
scaffold_6	3	jg28784	1423640.5
scaffold_6	3	jg13227	1432184.5
scaffold_6	3	jg16815	1423424.5
scaffold_7	4	jg621	1072500
scaffold_7	4	jg4111	1072099.5
scaffold_7	4	jg13147	1071311
scaffold_7	4	jg8565	1071300
scaffold_7	4	jg20516	1073662
scaffold_7	4	jg13148	1073758
scaffold_7	4	jg28703	1073759
scaffold_7	4	jg8564	1069696
scaffold_7	4	jg13146	1069390.5
scaffold_7	4	jg24214	1075849.5
scaffold_7	4	jg20517	1075908.5
scaffold_7	4	jg16740	1076059
scaffold_7	4	jg16739	1067765.5
scaffold_7	4	jg8566	1077283.5
scaffold_3	5	jg21409	6518403
scaffold_3	5	jg25753	6518521.5
scaffold_3	5	jg30192	6517976
scaffold_3	5	jg5563	6517431
scaffold_3	5	jg21408	6517051.5
scaffold_3	5	jg17516	6519781.5
scaffold_3	5	jg9988	6520089
scaffold_3	5	jg1664	6516436.5
scaffold_3	5	jg21410	6520215
scaffold_3	5	jg17515	6515894
scaffold_3	5	jg9987	6515862
scaffold_3	5	jg30193	6520822.5
scaffold_3	5	jg25754	6520938.5
scaffold_3	5	jg25752	6515213
scaffold_3	5	jg14171	6521922.5
scaffold_3	5	jg5562	6514165
scaffold_3	5	jg30191	6514025
scaffold_3	5	jg25755	6522685.5
scaffold_3	5	jg17517	6522743.5
scaffold_3	5	jg9989	6523099.5
scaffold_3	5	jg14170	6513479
scaffold_7	6	jg12700	20653609
scaffold_7	6	jg33252	20651955.5
scaffold_7	6	jg33253	20654790
scaffold_7	6	jg33251	20649354.5
scaffold_7	6	jg33254	20656551.5
scaffold_7	6	jg12699	20648278
scaffold_7	6	jg33250	20647981
scaffold_3	7	jg29812	5176976.5
scaffold_3	7	jg13927	5177033
scaffold_3	7	jg1467	5176593.5
scaffold_3	7	jg5206	5177648.5
scaffold_3	7	jg9605	5176149.5
scaffold_3	7	jg25392	5176129
scaffold_3	7	jg9606	5178160.5
scaffold_3	7	jg13928	5178530.5
scaffold_3	7	jg5205	5175258
scaffold_3	7	jg9604	5174771
scaffold_3	7	jg13926	5174604
scaffold_3	7	jg1468	5179311
scaffold_3	7	jg25391	5173988.5
scaffold_3	7	jg29811	5173680.5
scaffold_3	7	jg29813	5180726
scaffold_3	7	jg5204	5173030.5
scaffold_3	7	jg5207	5181367
scaffold_3	7	jg29810	5171986.5
scaffold_6	8	jg24972	3731709.5
scaffold_6	8	jg13699	3732038
scaffold_6	8	jg21039	3732052.5
scaffold_6	8	jg4837	3730069.5
scaffold_6	8	jg1197	3733199
scaffold_6	8	jg9243	3733529.5
scaffold_6	8	jg4836	3728552
scaffold_6	8	jg4838	3733624
scaffold_6	8	jg9242	3728467
scaffold_6	8	jg13698	3727969.5
scaffold_6	8	jg21038	3727732.5
scaffold_6	8	jg17262	3734472
scaffold_6	8	jg1196	3727044.5
scaffold_6	8	jg29429	3735158
scaffold_6	8	jg29428	3726765
scaffold_6	8	jg17261	3726409
scaffold_6	8	jg9244	3735851.5
scaffold_6	8	jg21040	3735960
scaffold_2	9	jg14057	5890938.5
scaffold_2	9	jg17422	5891377
scaffold_2	9	jg5397	5890780
scaffold_2	9	jg17421	5890663.5
scaffold_2	9	jg1589	5890551
scaffold_2	9	jg25585	5892011
scaffold_2	9	jg14056	5889610.5
scaffold_2	9	jg9811	5892715
scaffold_2	9	jg25584	5889362
scaffold_2	9	jg25586	5893698.5
scaffold_2	9	jg14058	5894723
scaffold_2	9	jg9810	5887426.5
scaffold_2	9	jg9812	5894980
scaffold_2	9	jg30016	5887245
scaffold_2	9	jg25587	5895362
scaffold_2	9	jg25583	5886691
scaffold_2	9	jg21301	5895678
scaffold_2	9	jg5398	5895815
scaffold_2	9	jg1590	5895877
scaffold_1	10	jg9251	3769121
scaffold_1	10	jg4846	3769120.5
scaffold_1	10	jg21044	3768941.5
scaffold_1	10	jg24983	3768805.5
scaffold_1	10	jg4847	3771666.5
scaffold_1	10	jg4845	3767534.5
scaffold_1	10	jg9252	3772680.5
scaffold_1	10	jg9250	3766723.5
scaffold_1	10	jg29439	3766515.5
scaffold_1	10	jg17269	3766481
scaffold_1	10	jg24982	3766302.5
scaffold_1	10	jg29440	3773421
scaffold_1	10	jg21045	3773444.5
scaffold_1	10	jg13704	3773555.5
scaffold_1	10	jg29438	3764849.5
scaffold_4	11	jg26920	11178216
scaffold_4	11	jg31390	11177707.5
scaffold_4	11	jg6660	11178546.5
scaffold_4	11	jg2418	11178711
scaffold_4	11	jg22500	11178784
scaffold_4	11	jg22499	11177055
scaffold_4	11	jg18523	11176706
scaffold_4	11	jg22501	11179915
scaffold_4	11	jg15337	11180105
scaffold_4	11	jg31389	11175675.5
scaffold_4	11	jg18524	11180343
scaffold_4	11	jg2417	11175235.5
scaffold_4	11	jg11165	11180913.5
scaffold_4	11	jg11164	11174904
scaffold_4	11	jg31391	11181403.5
scaffold_4	11	jg15336	11174095
scaffold_4	11	jg6661	11181952.5
scaffold_4	11	jg22498	11173878.5
