Orthogroup	A_arenosa	A_thaliana
OG0000004	jg33138, jg30060, jg20837	AT2G17905.1
OG0000008	jg1275, jg1269, jg1270, jg1272, jg1279, jg1271, jg1274, jg1277, jg1280, jg1273, jg1276, jg1278	AT3G44115.1, AT1G57775.1, AT1G57777.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57760.1, AT4G07515.1, AT4G08025.1, AT5G34908.1
OG0000008	jg20984, jg20981, jg20985, jg20982, jg20983, jg20980, jg20976, jg20975, jg20978, jg20979, jg20977, jg20974, jg20973	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
OG0000011	jg32393, jg11989, jg32560, jg4400, jg26774	AT1G52950.1
OG0000012	jg32334	AT3G27495.1
OG0000014	jg33383	AT1G18050.1, AT3G30370.1
OG0000018	jg17939	AT5G11565.1
OG0000021	jg7377	AT2G07190.1, AT2G07200.1
OG0000022	jg13955, jg7030, jg13870, jg13956	AT5G27606.1
OG0000030	jg18920, jg15311	AT2G37620.1, AT3G53750.1
OG0000030	jg14433	AT5G59370.1, AT3G46520.1
OG0000030	jg26012, jg33022	AT3G18780.2, AT1G49240.1
OG0000030	jg4799	AT5G09810.1
OG0000030	jg19509	AT2G42100.1
OG0000030	jg25167	AT3G12110.1
OG0000032	jg2233	AT1G67130.1
OG0000032	jg32093	AT1G31080.1
OG0000032	jg31714	AT1G31090.1
OG0000032	jg31669	AT1G30920.1
OG0000032	jg31705, jg31715	AT5G42430.1
OG0000032	jg31674, jg31676, jg31678, jg31679, jg31677	AT1G30930.1
OG0000033	jg642	AT1G62680.1
OG0000033	jg645, jg586, jg583, jg572	AT1G63130.1
OG0000033	jg663	AT1G62590.1, AT1G63400.1
OG0000033	jg538, jg481	AT1G63150.1, AT1G62910.1
OG0000033	jg580, jg611, jg588, jg582	AT1G63070.1
OG0000033	jg612	AT1G62930.1
OG0000033	jg610, jg644	AT1G63080.1
OG0000033	jg643, jg617, jg616	AT1G62914.1
OG0000033	jg618, jg613	AT1G62670.1
OG0000033	jg638	AT1G62720.1
OG0000033	jg584	AT1G06580.1, AT1G64580.1
OG0000034	jg27080	AT5G52547.1, AT4G08270.1
OG0000034	jg6738, jg8938, jg16352, jg14895, jg31555	AT3G47680.1
OG0000035	jg17972	AT2G29550.1
OG0000035	jg5068	AT5G12250.1
OG0000035	jg20749	AT5G44340.1
OG0000035	jg10485	AT4G20890.1
OG0000035	jg3235	AT1G75780.1
OG0000035	jg30528	AT1G20010.1
OG0000035	jg6235	AT5G23860.1
OG0000035	jg23223	AT5G62700.1, AT5G62690.1
OG0000036	jg2038, jg2030, jg2028, jg2031	AT1G65990.1
OG0000036	jg7426	AT4G10740.1
OG0000036	jg26470	AT3G22421.1
OG0000036	jg26523	AT3G22870.1
OG0000036	jg19043	AT2G38590.1
OG0000036	jg12773	AT5G41490.1
OG0000036	jg26631, jg26630, jg26627	AT3G25090.1, AT3G23685.1
OG0000036	jg26628	AT3G23680.1
OG0000036	jg24305	AT3G04250.1
OG0000038	jg4927	AT5G10980.1, AT4G40040.1, AT4G40030.2
OG0000038	jg27126	AT1G75600.1
OG0000038	jg3220, jg3219, jg7203	AT1G13370.1
OG0000038	jg4870	AT5G10400.1, AT1G09200.1
OG0000038	jg29279	AT3G27360.1
OG0000039	jg22259	AT5G54550.1, AT5G54560.1
OG0000039	jg22006	AT5G52930.1
OG0000039	jg22007	AT5G52940.1
OG0000039	jg22250, jg22247	AT5G54450.1
OG0000039	jg22446, jg22952	AT5G53230.1, AT5G53240.1
OG0000039	jg22427, jg22428	AT5G55890.1, AT5G55880.1
OG0000039	jg22237	AT5G54320.1
OG0000039	jg22236	AT5G54330.1
OG0000045	jg21260	AT1G07820.1, AT3G53730.1, AT5G59690.1
OG0000045	jg14371	AT2G28740.1
OG0000049	jg24236	AT3G03830.1
OG0000049	jg5639	AT5G18010.1
OG0000049	jg5643	AT5G18050.1
OG0000049	jg5640	AT5G18030.1
OG0000050	jg743	AT1G61990.1
OG0000050	jg745	AT1G61980.1
OG0000050	jg746	AT1G61970.1
OG0000050	jg726	AT1G62110.1, AT1G62085.1
OG0000050	jg721	AT1G62150.1
OG0000050	jg748	AT1G61960.1
OG0000050	jg749	AT1G62120.1
OG0000051	jg11869, jg27710	AT1G35375.1
OG0000052	jg32317, jg27114, jg11622, jg11472	AT5G34581.1
OG0000052	jg13887, jg17188, jg6904, jg8263, jg11759, jg32361	AT4G04265.1, AT2G06425.1
OG0000055	jg31202	AT1G24800.1, AT1G25150.1, AT1G25211.1, AT1G24881.1, AT1G25055.1
OG0000055	jg10900	AT3G14030.1
OG0000055	jg11085, jg11084, jg11086	AT4G17200.1
OG0000055	jg738	AT3G13680.1
OG0000056	jg27127	AT1G34440.1, AT3G27590.1, AT4G05095.1
OG0000057	jg18115	AT2G30670.1
OG0000057	jg17935, jg17934	AT2G29330.1
OG0000057	jg17933	AT2G29300.2, AT2G29320.1
OG0000057	jg17932	AT2G29310.1
OG0000059	jg12066	AT5G36910.1
OG0000061	jg492	AT1G63740.2
OG0000061	jg11338	AT4G14370.2
OG0000061	jg27782	AT2G16870.1
